id,days_since_creation,score,viewcount,favoritecount,commentcount,reputation_user
12838474,4501.0,2,,,0,7905.0
12838475,4501.0,1,,,0,5793.0
12838476,4501.0,4,,,1,9221.0
12838477,4501.0,1,,,0,325191.0
12838478,4501.0,1,,,0,20955.0
12838479,4501.0,4,245.0,,2,2802.0
12895448,4497.0,2,723.0,0.0,0,69.0
12895450,4497.0,8,36653.0,0.0,10,4310.0
12895451,4497.0,4,,,0,2521.0
12895453,4497.0,1,,,0,25026.0
12895454,4497.0,5,1260.0,0.0,3,3182.0
12895456,4497.0,2,,,3,29133.0
12895457,4497.0,4,534.0,,0,41.0
12895458,4497.0,0,,,0,579.0
12895459,4497.0,2,,,1,16054.0
12895464,4497.0,7,,,8,1031352.0
12895465,4497.0,0,,,1,176651.0
12895466,4497.0,0,,,1,835.0
12895467,4497.0,2,6895.0,0.0,3,264.0
12895468,4497.0,0,2879.0,,0,1169.0
12895471,4497.0,0,203.0,,2,29.0
12895472,4497.0,7,,,0,186.0
12895473,4497.0,0,83.0,,0,252.0
12895474,4497.0,0,193.0,,5,1.0
12895475,4497.0,-1,561.0,0.0,4,437.0
12895476,4497.0,7,,,3,6614.0
12895477,4497.0,2,1933.0,,0,177.0
12895478,4497.0,1,,,3,29.0
12895479,4497.0,3,,,0,5507.0
12895480,4497.0,0,,,0,1483.0
12895481,4497.0,3,,,0,337299.0
12895482,4497.0,0,,,0,21.0
12895483,4497.0,2,,,0,11226.0
12895484,4497.0,3,,,3,23746.0
12895485,4497.0,1,,,7,4453.0
12895486,4497.0,0,,,1,18649.0
12895487,4497.0,2,,,1,462.0
12895488,4497.0,0,,,0,182.0
12895489,4497.0,3,889.0,0.0,0,11513.0
12895491,4497.0,0,,,0,11766.0
12895492,4497.0,1,,,0,7651.0
12895493,4497.0,4,,,0,4592.0
12895494,4497.0,4,,,1,5138.0
12895495,4497.0,0,102.0,,4,21.0
12895496,4497.0,0,,,0,1.0
12895497,4497.0,0,,,0,28253.0
12895498,4497.0,0,,,0,10305.0
12895499,4497.0,2,,,0,21.0
12895500,4497.0,1,,,0,882.0
